Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
FSIYX,Fidelity Inflation-Protected Bond Index Fund Premium Class ,316146125,https://fundresearch.fidelity.com/mutual-funds/summary/316146125,Index,Bond,Passive,Diversified,International,Government Bonds,9.79,0.0077,0.0408,3,Moderate High,Low,High,Average,Low,High,0,1,0,1,1,0,0,0,0,0,0
FDRXX,Fidelity Government Cash Reserves ,316067107,https://fundresearch.fidelity.com/mutual-funds/summary/316067107,MoneyMarket,TreasuryandGovernmentMoneyMarket,Active,Diversified,Domestic,Money Market,1,0.02,0.0004,0,None,Low,Average,Average,Low,High,1,0,0,1,0,0,0.15,0.1,0.05,0,0
CX_IE00BY7QL619_NYQ,JOHNSON CONTROLS INTERNATIONAL PLC,00BY7QL61,,Not Applicable,Not Applicable,Not Applicable,Industrials,Domestic,Equity,44.00,,,5,,Average,Average,Low,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US02079KAA51_USD,ALPHABET INC,02079KAA5,,Not Applicable,Not Applicable,Not Applicable,Information Technology,Domestic,Corporate Bonds,105.39,,,3,,Low,Average,Average,Low,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US031162BG42_USD,AMGEN INC,031162BG4,,Not Applicable,Not Applicable,Not Applicable,Health Care,Domestic,Corporate Bonds,106.49,,,4,,Average,Low,Low,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US031162BK53_USD,Amgen 5.15% 11/15/2041,031162BK5,,Not Applicable,Not Applicable,Not Applicable,Health Care,Domestic,Corporate Bonds,116.05,,,3,,High,Average,Low,High,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US03232PAD06_USD,AmSurg Corp 5.625% 07/15/2022,03232PAD0,,Not Applicable,Not Applicable,Not Applicable,Health Care,Domestic,Corporate Bonds,104.00,,,3,,Average,High,Low,Average,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US0533321024_NYQ,AUTOZONE INC,053332102,,Not Applicable,Not Applicable,Not Applicable,Consumer Discretionary,Domestic,Equity,495.69,,,7,,Average,High,Low,Low,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US0584981064_NYQ,BALL CORP,058498106,,Not Applicable,Not Applicable,Not Applicable,Materials,Domestic,Equity,42.42,,,5,,Average,Average,Average,High,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US1696561059_NYQ,CHIPOTLE MEXICAN GRILL INC,169656105,,Not Applicable,Not Applicable,Not Applicable,Consumer Discretionary,Domestic,Equity,374.98,,,4,,Average,High,Low,Average,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US1912161007_NYQ,COCA-COLA,191216100,,Not Applicable,Not Applicable,Not Applicable,Consumer Staples,Domestic,Equity,44.67,,,5,,Average,Average,Average,Average,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US29379VAY92_USD,ENTERPRISE PRODUCTS OPERATING LLC,29379VAY9,,Not Applicable,Not Applicable,Not Applicable,Energy,Domestic,Corporate Bonds,99.53,,,2,,High,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US30231GAN25_USD,EXXON MOBIL CORP,30231GAN2,,Not Applicable,Not Applicable,Not Applicable,Energy,Domestic,Corporate Bonds,96.35,,,3,,Low,Low,High,High,Low,0,0,0,0,1,0,0,0,0,0,0
CX_US46120E6023_NSQ,INTUITIVE SURGICAL INC,46120E602,,Not Applicable,Not Applicable,Not Applicable,Health Care,Domestic,Equity,946.65,,,6,,Average,Average,Low,Average,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US4642851053_NYQ,iShares Gold Trust,464285105,,Not Applicable,Not Applicable,Not Applicable,Commodity,Domestic,Commodities,11.95,,,5,,Low,Average,Low,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US4642871762_NYQ,iShares TIPS Bond,464287176,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,113.60,,,2,,Low,High,Low,Average,High,0,0,0,0,0,0,0,0,0,0,0
